tid,id,number,title,length,artist,album,year,language
3827,MBox7368722-HH,9,Daniel Balavoine - L'enfant aux yeux d'Italie,219,,De vous à elle en passant par moi,75,French
3828,MBox38440522-HH,17,Action PAINTING! - Mustard Gas,129,,There and Back Again Lane,95,English
3829,MBox28675636-HH,11,Bruce Maginnis - Sttreet Hype,177,,Groove City,05,English
3830,MBox9589118-HH,9,Luce Dufault - Ballade à donner,242,,Luce Dufault,96,French
3831,MBox374174-HH,14,Marlene Dietrich - Wo ist der Mann?,188,,Die frühen Aufnahmen,,[Multiple languages]
3832,MBox16772235-HH,12,Al Hirt - Tansy,145,,Greatest Hits,01,Engliish
3833,MBox18800718-HH,3,Clouseau - Anne,162,,"De Pre Historie 1989, Volume 3",00,[Multiple languages]
3834,MBox2508308-HH,2,Tony Rice - Urge for Going,350,,Night Flyer,08,English
3835,MBox7094517-HH,18,"Tabu Recz - Du Ikk' Sej, Din Pik Er Ikk' Lang, Vi Skyder Dig",240,,Tabu Recz,,null
3836,MBox6346918-HH,2,Wayanay - Andes Cosmos,249,,Treasures Of The Incas (Andes Cosmos),,null
3837,MBox4077320-HH,4,Special Feature Including A Hybrid Documentary,null,Hybrid,Morning_Sci-Fi,3,English
3838,MBox14735916-HH,10,CharlyGarcíaNobombardeenBuenosAires,242,,Oro: Grandes éxitos,03,Spanish
3839,MBox16900513-HH,,Lowland Trio - Van mij kan je de pot op,150,,Hollands Glorie: Lowland Trio,02,Dutch
3840,MBox19839634-HH,1 1,Power of Dreams - Sky,344,,Become Yourself,,English
3841,MBox30957614-HH,13,Amikaeyla and Trelawny Rose - Wonderful World,333,,"To Eva, With Love",11,English
3842,MBox12438712-HH,10,Sinkhole - Wreck on the Highway,109,,Groping for Trout,92,English
3843,MBox13556620-HH,8,Selffish - Sound Judgement,319,,electronica@*.lv,03,English
3844,MBox31178026-HH,5,Sam Cooke - You Send Me,163,,The Greatest Soul Collection,06,English
3845,MBox30985734-HH,12,Domenico Modugno - La distania es como el viento,240,,Románticos Inolvidables Vol 2,,Spanish
3846,MBox24013630-HH,2,Lark Daddy - Flip Flop,270,,Eleven Phases: Detroit Compilation,98,English
3847,MBox42285135-HH,B1,Uriah Heep - Southern Star,266,,Into the Wild,11,English
3848,MBox1321164-HH,8,Guns N’ Roses - Estranged,681,,Revolution Calling,91,English
3849,MBox15108016-HH,22,Игорь Фёдорович Стравинский - Firebird: Finale (Philharmonia Orchestra feat. conductor: Esa-Pekka Salonen),188,,Ballet- Hits,95,English
3850,MBox16486728-HH,11,Carbona -  1001 Doses (Até Você Voltar),151,,Taito Não Engole Fichas,03,Portuguese
3851,MBox2400-HH,4,Dimitri From Paris - Nothing to Lose,297,,Sacrebleu,98,French
3852,MBox1789432-HH,3,Tropical Dudes - Busybodies,227,,Tropical Monsters,08,English
3853,MBox4260829-HH,6,Uroš Rakovec Trio - Tako lepo bo,169,,Poganjki,09,null
3854,MBox30367420-HH,4,Пётр Ильич Чайковский - Pas d'action,623,,Dornröschen / Der Zauberladen,,null
3855,MBox30010412-HH,1,Molly Half Head - Vivid Whitsun,276,,Sulk,93,English
3856,MBox2675712-HH,6,Sacred Spirit - Yane-Heja-Hee,290,,More Chants and Dances of the Native Americans,00,English
3857,MBox30125917-HH,4,aMnassas - Johnny's Garden,167,,Carry On,98,English
3858,MBox700286-HH,9,Symphony X - Of Sins and Shadows,null,,"2003-04-17: Langen, Germany",,English
3859,MBox22825935-HH,19,Lester Flatt & Earl Scruggs - I'm Going to Make Heaven My Home,159,,Bluegrass Bonanza,01,English
3860,MBox19984532-HH,5,Bagad Roñsed-Mor - Gavoten Ar Vro Boulet,239,,Mega Celtique,06,English
3861,MBox1062975-HH,4,Coffin Nails - Daytime TV,175,,Out for the Weekend,01,English
3862,MBox28273911-HH,6,Ser Un Peyjalero - Peyjalero,148,,U,93,nEglish
3863,MBox16978628-HH,16,岩崎文紀 - 深海の精,107,,あまえないでよっ!! さんとら冬盤,06,Japanese
3864,MBox23020924-HH,12,The Pair Extraonrdinaire - I'm a Believer,null,,It's a Wonderful World,67,English
3865,MBox17716433-HH,14,André HazesR - Ik ben een gokker,190,,De Hazes 100: Van de fans - Voor de fans,06,Dutch
3866,MBox14046530-HH,9,Herb Alpert - Silent Tears And Roses,231,,Midnight Sun,92,English
3867,MBox10960718-HH,2,Full Force - Let's Dance Against the Wall,221,,Ahead of Their Time! Full Force's Greatest HXits,01,English
3868,MBox21218323-HH,11,Loona - Rhythm of the Night,223,,RTL Party Hits 2003,03,English
3869,MBox2807262-HH,5,Deja-Move - Ways to Go,355,,Collect the Cuts 2,11,English
3870,MBox4386531-HH,2,Jacques Brel - Marieke,179,,"Intégrale Grand Jacques, Volume 10 : Ne me quitte pas",88,French
3871,MBox1138718-HH,12,"Reboelje - It famke, de hûn en de houtkapper",342,,Hotel Reboelje,98,"Frisian, Western"
3872,MBox12932410-HH,8,BUCK-TICK - LOVE ME,313,,殺シノ調ベ This is NOT Greatest Hits,07,Japanees
3873,MBox34742433-HH,10,Plump DJs - Acid Hustle,189,,Finger Lickin' Thang 4,06,English
3874,MBox7671934-HH,3,Caedmon's Call - There's Only One (Holy One),222,,Share the Well,04,English
3875,MBox13476412-HH,4,Heli Deinboek -O berwart (Birmingham),181,,Relativ Positiv,97,German
3876,MBox37422715-HH,6,Xalm Retribution - Illusion of Love,313,,Illusion of Love,10,English
3877,MBox4393686-HH,5,Satellites & Sirens - Magnetic,202,,One Nosie,14,English
3878,MBox684614-HH,14,Black Tape for a Blue Girl - We Watched Our Sad-Eyed Angel Fall,329,,With a Million Tear-Stained Memories,03,English
3879,MBox2392547-HH,10,Spike Jones New Band - The Gow Worm,124,,My Man,64,English
3880,MBox33061010-HH,3,Mennen - Power to the Bone,306,,Planet Black,,English
3881,MBox26168712-HH,2,Splinterskin - Dancing Dead Men,222,,ayward Souls,09,English
3882,MBox29972435-HH,11,Fall of Envy - Failure,246,,Poetic Rage,08,English
3883,MBox10249331-HH,2,Neil Biggin - Chile,244,,Re-Loaded,96,English
3884,MBox1504508-HH,5,G.Rag y los Hermanos Patchekos - Blechernes G'lächter,134,,Cadeau bizarre,,[Multiple languages]
3885,MBox28258827-HH,2,The O'Jays - Let Me Make Love to You,218,,"Between the Sheets, Volume 1",95,English
3886,MBox40371310-HH,10,Mad Props - My Ding-A-Ling,null,,"Best of Bass, Volume 3",94,English
3887,MBox43109917-HH,3,Patricia Cornwell - 30 Knochenbett,529,,Knochenbett,,German
3888,MBox2141612-HH,9,Dubok - Immersed,307,,Immersed,00,English
